producto;cod_barra;descripcion;precio;fecha_mod
638492;7,79816E+12;CARPETA INKDROP A4 12240 SAVAGE CARTONE;$ 116,50;15/11/2019
638502;7,79816E+12;CARPETA INKDROP A4 1240 FLOWERS CARTONE;$ 116,50;15/11/2019
638498;7,79816E+12;CARPETA INKDROP A4 13240 NEON CARTONE;$ 116,50;15/11/2019
638505;7,79816E+12;CARPETA INKDROP A4 14240 SPORTS CARTONE;$ 116,50;15/11/2019
638623;7,79816E+12;CARPETA INKDROP A4 19240 REBEL SHOES CARTONE;$ 153,67;15/11/2019
795062;7,79828E+12;CARPETA INKDROP A4 2017240L19 EMOTICONS;$ 184,88;15/11/2019
795065;7,79828E+12;CARPETA INKDROP A4 2017240L21 MOTORCYCLES;$ 184,88;15/11/2019
795061;7,79828E+12;CARPETA INKDROP A4 2017240L29 CARS;$ 184,88;15/11/2019
795072;7,79816E+12;CARPETA INKDROP A4 2017240L30 SURFING;$ 184,88;15/11/2019
795073;7,79828E+12;CARPETA INKDROP A4 2017240L32 TROPICAL;$ 184,88;15/11/2019
795066;7,79828E+12;CARPETA INKDROP A4 2017240L34 MUSIC;$ 184,88;15/11/2019
795063;7,79828E+12;CARPETA INKDROP A4 2017240L39 FUTBOL;$ 184,88;15/11/2019
795070;7,79828E+12;CARPETA INKDROP A4 2017240L40 SKATE;$ 184,88;15/11/2019
795069;7,79828E+12;CARPETA INKDROP A4 2017240L41 RUGBY;$ 184,88;15/11/2019
795067;7,79828E+12;CARPETA INKDROP A4 2017240L42 PELOTAS I;$ 184,88;15/11/2019
795064;7,79828E+12;CARPETA INKDROP A4 2017240L45 GOLD ANIMALS;$ 184,88;15/11/2019
795071;7,79828E+12;CARPETA INKDROP A4 2017240L46 SUBLIME;$ 184,88;15/11/2019
795074;7,79828E+12;CARPETA INKDROP A4 2017240L55 ARTE. DELICIOSO;$ 184,88;15/11/2019
795068;7,79828E+12;CARPETA INKDROP A4 2017240L56 ROMANTICA;$ 184,88;15/11/2019
638618;7,79816E+12;CARPETA INKDROP A4 20240 COLLAGE CARTONE;$ 153,67;15/11/2019
638496;7,79816E+12;CARPETA INKDROP A4 2240 KEEP CALM CARTONE;$ 116,50;15/11/2019
638621;7,79816E+12;CARPETA INKDROP A4 24240 SCOMBRO 1 CARTONE;$ 153,67;15/11/2019
638619;7,79816E+12;CARPETA INKDROP A4 27240 WILD LIFE CARTONE;$ 153,67;15/11/2019
638497;7,79816E+12;CARPETA INKDROP A4 3240 ALL YOU CARTONE;$ 116,50;15/11/2019
638622;7,79816E+12;CARPETA INKDROP A4 35240 PELOTAS CARTONE;$ 153,67;15/11/2019
638620;7,79816E+12;CARPETA INKDROP A4 42240 BUHOS CARTONE;$ 153,67;15/11/2019
638503;7,79816E+12;CARPETA INKDROP A4 4240 REBEL SHOES CARTONE;$ 116,50;15/11/2019
638624;9,19991E+12;CARPETA INKDROP A4 49240 SCOMBRO 2 CARTONE;$ 153,67;15/11/2019
638500;7,79816E+12;CARPETA INKDROP A4 5240 PEACE&LOVE CARTONE;$ 116,50;15/11/2019
638494;7,79816E+12;CARPETA INKDROP A4 6240 VIDA CARTONE;$ 116,50;15/11/2019
638501;7,79816E+12;CARPETA INKDROP A4 7240 DIVERTIDOS CARTONE;$ 116,50;15/11/2019
638495;7,79816E+12;CARPETA INKDROP A4 8240 MI FRENCHIE CARTONE;$ 116,50;15/11/2019
638493;7,79816E+12;CARPETA INKDROP A4 9240 FACES CARTONE;$ 116,50;15/11/2019
795010;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L19 EMOTICONS;$ 106,64;15/11/2019
795038;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L21 MOTORCYCLES;$ 106,64;15/11/2019
795041;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L29 CARS;$ 106,64;15/11/2019
795029;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L30 SURFING;$ 106,64;15/11/2019
795032;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L32 TROPICAL;$ 106,64;15/11/2019
795047;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L34 MUSIC;$ 106,64;15/11/2019
795009;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L39 FUTBOL;$ 106,64;15/11/2019
795046;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L40 SKATE;$ 106,64;15/11/2019
795044;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L41 RUGBY;$ 106,64;15/11/2019
795031;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L42 PELOTAS I;$ 106,64;15/11/2019
795013;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L43 VINTAGE CARS;$ 106,64;15/11/2019
795040;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L45 GOLD ANIMALS;$ 106,64;15/11/2019
795030;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L46 SUBLIME;$ 106,64;15/11/2019
795043;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L52 COMICS;$ 106,64;15/11/2019
795034;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L54 CLASSIC;$ 106,64;15/11/2019
795011;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L55 ARTENTINO DELICIOSO;$ 106,64;15/11/2019
795012;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L56 ROMANTICA;$ 106,64;15/11/2019
795045;7,79816E+12;CARPETA INKDROP Nro 3 2017N3L57 ARTENTINO BUHO;$ 106,64;15/11/2019
795033;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L59 CHIMOLA II;$ 106,64;15/11/2019
795023;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L61 CHIMOLA IV;$ 106,64;15/11/2019
795042;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L64 PELOTAS II;$ 106,64;15/11/2019
795039;9,19991E+12;CARPETA INKDROP Nro 3 2017N3L7 SCOMBRO I;$ 106,64;15/11/2019
795037;7,79828E+12;CARPETA INKDROP Nro 3 2017N3L9 SKULLS;$ 106,64;15/11/2019
795055;7,79828E+12;CARPETA INKDROP Nro 5 2017N5L13 BUHOS;$ 128,27;15/11/2019
